	topic	sentiment	tweets	time
259	1	n	Cold winter weather is once again having the daily COVID cases skyrocket! Ontario already is at 927 while Toronto is at 129!	2021-11-26 20:07:53+00:00
260	4	-	"Me: *buys a ticket for Emo Night*

Covid: SURPRISE!  New variant!"	2021-11-26 20:07:22+00:00
261	4	-	"It’s going to be a “Happy New Year” for “experts”, public health officials, Pfizer, Moderna, Johnson &amp; Johnson, Amazon, elected officials. For the rest of us, 2022 looks like it’s going to be our third year in #CovidDictatorship hell."	2021-11-26 19:56:33+00:00
262	6	-	Athletes that want to attend the Chinese Olympics need to have their head examined. Trust China after they unleashed Covid 19 on the whole World?	2021-11-26 19:49:56+00:00
263	3	-	"@JustinTrudeau Pretty scaring new vaccine resistant variet out there. Maybe focus a bit of your time on that, then you can get back to destroying our economy."	2021-11-26 19:44:56+00:00
264	6	+	@AmitAryaMD How about you get off Twitter and actually talk to your patients that won’t get the vaccine because everyone I know has it already and we are the people that are against you as a doctor talking about politics instead of actually doing something good with your medical degree	2021-11-26 19:43:02+00:00
265	3	n	@nasincognito He is a vaccine type.	2021-11-26 19:38:43+00:00
266	6	-	@ScottMoffatt21 @CPBH01 @DisgustedC @JustSayinInOnt @KatePorterCBC @CouncillorGlen @Laura_Dudas @TimTierney @JLeiper @RiverWardRiley @AllanHubley_23 @catherinekitts @AltaVistaWard18 @ShawnMenard1 @ottawacity @JimWatsonOttawa @MatthewLuloff @cathycurry_88 @Eli_ElChantiry @tm_kavanagh @cmckenney @MeehanCarolAnne @MathieuFleury @dianedeans @rawlsonking @KeithEgli @RickChiarelli @HorizonOttawa It isn't good goverance if physical mail hasn't been delivered to councillors' WFH locations since covid started.	2021-11-26 19:33:18+00:00
267	1	n	"Dr. Tam predicts there will be ups and downs in terms of COVID-19 cases over the holidays but she asks that people exercise caution in terms of gathering, masking, and ensuring the vaccination status of those they are gathering with.
#cdnpoli #COVID19"	2021-11-26 19:30:02+00:00
268	6	n	@j_mcelroy Omg. I thought exactly the same thing. Now can we turn the matrix of leadership into a vaccine… 😂	2021-11-26 19:28:08+00:00
269	4	-	@mustluvkitties That is so me. I just hate the malls .especially now . Too crowded. Have to fight for parking . Since I got covid back in Febuary .. rarely go out anymore	2021-11-26 19:27:33+00:00
270	6	-	"People thought the new covid variant would be named Nu, but it seems we're at Omicron now... next one's Pi, we'll have gone full circle😆"	2021-11-26 19:08:40+00:00
271	1	n	“We actually don’t know the impact of this variant on vaccine effectiveness” - @CPHO_Canada says in relation to the new variant first discovered in Southern Africa #cdnpoli #COVID19	2021-11-26 19:08:07+00:00
272	4	-	"This morning the news is endless fear mongering about the new “Grinch” variant from Africa. One might assume that these mutations &amp; variants will never end so let’s just acknowledge we might all have to just get Covid, gain natural immunity &amp; then each of us will be done with it"	2021-11-26 19:04:22+00:00
273	2	-	"@richardzussman Remove all Covid restrictions, the government has abused its people long enough."	2021-11-26 19:02:39+00:00
274	3	+	Covid Omicron? Please vaccinate the world so this can stop already. #COVID19	2021-11-26 19:02:13+00:00
275	1	n	If you have just returned from Southern Africa - the government is asking that you get a COVID-19 test and self-isolate immediately #cdnpoli #COVID19	2021-11-26 19:01:31+00:00
276	2	n	@PaulHinmanWIPA Will you remove all Covid restrictions?	2021-11-26 18:58:08+00:00
277	6	+	"@_scottreid Having been a kid in the 80s, I'm cool with Decepticon such as #omicron being the name for a covid-19 variant."	2021-11-26 18:55:30+00:00
278	3	+	Shout out to the anti-vaxxers that just put us in another wave by not getting vaccinated and letting covid mutate. Please hurry and because Darwin award winners sober can actually work last this nonsense	2021-11-26 18:44:17+00:00
279	6	-	"@LesiaOA Covid-19 has taught us how to do virtual medicine.
Rare diseases need universal access and virtual care is the way to go.
Even then we are restricted by provincial boundaries.
My interest is Alpha-1-Antitrypsin Deficiency rather than Wilson Disease.
Therapeutic trials on the way"	2021-11-26 18:42:47+00:00
280	6	n	#StockMarket tanking what’s a good buy? Not moderna Calls….	2021-11-26 18:29:46+00:00
281	3	n	Hey #yyc parents - how you/your kids feeling on day 1 of the #COVID19AB 5-11 vaccinations? Let’s see those kids post vaccine pics ⬇️⬇️	2021-11-26 18:28:56+00:00
282	6	+	The ppl should set up a go fund me page for Africa. So ordinary ppl can purchase a vaccine for someone in need in Africa. If Big Pharma won't do the right things we may have to. If we wait for govts &amp; obscenely rich ppl to do the right thing it won't happen.	2021-11-26 18:28:39+00:00
283	5	-	"@djusmarshall @tammyrobert I've never received grief from unvaccinated people since the vaccine rollout. I support the mandate, but I refuse to be verbally abused for doing my job. It's worse in my case, as my work doesn't accept the vaccine cards given out by public health. The vaccinated are the problem."	2021-11-26 18:18:19+00:00
284	4	-	@Berg_Angelique @KerrieNation @ThanksCancer Riiight! Covid could literally kill me but nope not a priority	2021-11-26 18:15:10+00:00
285	4	-	"@beoptimal1 @mackinprof Patience is short with misinfo because this is what is prolonging the pandemic for ALL of us!
If folks were distancing, masking &amp; not gathering in the first 6 months prior to vaccines &amp; &gt;90% were 💉 in the past 8-10 mos, when avail, COVID may be almost non-existent in developed?"	2021-11-26 18:05:11+00:00
286	4	+	"@nathanwpyle Thank you for making them, I'm covid-19 positive and these are helping to make it more bearable."	2021-11-26 18:01:54+00:00
287	4	-	@birgitomo @ColinDMello @LLynneIrwin @fordnation And lets covid continue to spread in ON so we can create our very own variant 😭	2021-11-26 17:52:37+00:00
288	4	-	@nathaliejacoby1 ...fucking COVID...	2021-11-26 17:52:27+00:00
289	6	-	@kgrindrod Seems like @TorontoPearson forgot that COVID exists. Yikes…	2021-11-26 17:50:15+00:00
290	2	-	"@ShawnMenard1 Even during COVID, sure people walked on the course - it was closed to golfers due to provincial emergency measures - but they’d be greeted with “no trespassing” signs. This is not community greenspace. It’s a playground for well-heeled folks."	2021-11-26 17:46:00+00:00
291	6	-	"@RadioFreeTom When it comes to identifying the problems with the US COVID response, it's Trump all the way down."	2021-11-26 17:44:46+00:00
292	4	+	@dearsusanbranch I’m so very happy for you and your family. I’d be terrified if my sister or brothers caught Covid. The UK just reported a new strain in South Africa. Happy TG weekend. Christmas is just around the corner now. 💕😊🤟💕	2021-11-26 17:37:56+00:00
293	3	+	@BigWhite I wouldn’t visit big white mountain anyway because they don’t ask for vaccine passports	2021-11-26 17:31:26+00:00
294	3	+	"I did give a pep talk to a woman getting her first Pfizer dose, though, so all wasn’t lost on the COVID front,"	2021-11-26 17:21:54+00:00
295	6	-	"The holidays must be coming up. Canada is heading for a ""fifth wave"" of covid as well as a ""scary new variant""."	2021-11-26 17:21:54+00:00
296	2	-	"@jkenney Idiotic statement, are we going to live in perpetual lockdown when there is a new variant every year?

The mistake you are repeating is to mimic China and their phoney welding of people into houses fear imagery.

Remove all Covid restrictions, the gig is up."	2021-11-26 17:16:21+00:00
297	6	-	@captainpylon @ColinDMello Long Covid would still be a concern though.	2021-11-26 17:09:05+00:00
298	2	-	"@erinotoole Remove all Covid restrictions.

The abuse of the people has gone on long enough.

You must resign as leader."	2021-11-26 17:06:46+00:00
299	6	-	"@Jacquie90168977 @AdrianaBarton She has been attacked, stalked, harassed, credential shamed &amp; her safety put at risk. So she goes under a pseudonym. Those in the scientific community know her identity &amp; yes she was promoted to senior scientist at Moderna this past June, working on both COVID &amp; HIV vaccines."	2021-11-26 17:05:19+00:00
300	4	-	"This ""we're gonna give you a one time cheque"" program to fight inflation by la CAQ feels like what happened in the USA in 2020 during covid. You know, that one time payment that didn't cover rent or anything"	2021-11-26 17:04:21+00:00
301	6	+	"@ETito604 And if North Korea is to be believed they achieved the mythical “zero covid”, what a model to be proud of 🤦‍♂️!"	2021-11-26 16:59:35+00:00
302	3	-	"@rinoathf @Able_Trading @MichaelGoodwell Funny this isn’t what they said off the start but they have people like you pitching it for them now.  Shall we bring up the videoed where they tell us all “if you get vaccinated you cannot catch covid”  your president said so, so did your god Fauci.  Hey KOOLAID!"	2021-11-26 16:59:25+00:00
303	3	+	"@djm21j2 @dotskivt @SusanStJames3_ Your reading comprehension is lacking; I wrote, BY YOUR LOGIC. The vaccine works, hospitalizations/deaths are almost 0% for the vaccinated, the vaccine doesn't make one invincible, it's a layer of protection, like a helmet, a seatbelt or a condom."	2021-11-26 16:58:06+00:00
304	3	+	It is great that #ChapmansIceCream is promoting the vaccine and in turn promoting health and safety #StandWithChapmans	2021-11-26 16:49:51+00:00
305	2	-	"@fordnation Remove all Covid restrictions.

The abuse of people by their governments over Covid has gone on long enough, time to live again."	2021-11-26 16:49:23+00:00
306	6	n	"For The Love Of God, Do NOT Come To The Pharmacy With Covid Symptoms"	2021-11-26 16:41:01+00:00
307	4	-	"@fordnation good luck Doug getting the feds to ban any incoming flights but you should also be concerned about the COVID-19 cases today. We did tell you cases would be around 1,000/day by the end of this month &amp; we’re almost there"	2021-11-26 16:40:06+00:00
308	6	n	"WoD Metavurious: a portmanteau word of metaverse and curious, akin to bi-curious or vaccine-curious. A state of a person that is excitedly curious about the metaverse but not ready to leap into it without more information or experience. (Coined by me on 11/26/21"	2021-11-26 16:32:52+00:00
309	2	-	@RachelNotley lol. covid mandates. #fired	2021-11-26 16:32:04+00:00
310	4	-	"@Burnside_5 @pastorbrianrobe @MaesPiet @chrischirp Of course. And I'm so sorry for your loss. I take covid pretty seriously, but I feel like everyone leans to the scariest thing 1st (human nature) but I'm literally burnt out from it. I know that doesn't change anything, but its really a lot mentally after so long."	2021-11-26 16:20:21+00:00
311	3	+	@mattdagley Me ! I am a volunteer. I’ll be one of the people checking vaccine records. Please bring them - and be kind! Following NSHealth protocols	2021-11-26 16:06:33+00:00
312	6	+	"So, we didn’t do enough to get vaccines around the world to poorer countries. We didn’t do enough to stop the anti vaxer movements, we didn’t do enough to keep masks on and now it’s almost too late as the virus mutated. Looks like we ran out of time and political will. #Covid"	2021-11-26 15:54:01+00:00
313	6	+	Lately I find myself wishing we could add covidiot as a risk factor for covid cases	2021-11-26 15:52:00+00:00
314	3	+	Happy kid vaccine day Alberta! Anyone else excited? #BringOnTheAntibodies	2021-11-26 15:50:02+00:00
315	3	+	Yay! @Kenny_Canada and I are now volunteer ushers for RMTC. And we both will have received our COVID booster shots before our first shift in December. #GetVaccinatedNow #royalmanitobatheatrecentre	2021-11-26 15:12:14+00:00
316	1	n	"Horizon Health Network says as of 10:30 this morning, 23 patients and 5 staff have tested positive for Covid-19 at The Moncton Hospital - meaning only three new cases have been found since Wednesday at 3pm @CTVAtlantic"	2021-11-26 15:09:00+00:00
317	3	+	"So, now there is a new mutation of Covid-19, if it takes out more people and is resistant to vaccine can we blame the non vaccinated"	2021-11-26 15:08:36+00:00
318	2	-	@JillianHortonMD Stop COVID transmission by locking down the segment of the province with the least vaccinations. That will free up beds.	2021-11-26 14:58:17+00:00
319	3	+	I cannot even describe how happy I am to have my 11 yo appointment for his vaccine!	2021-11-26 14:54:44+00:00
320	2	+	"@BradRedekopp Perhaps it's the clarity of that vaccine mandate with all the civil servants working for them in those well ventilated spaces? After all the entirety of Liberals, NDP, Greens and Bloc have been vaccinated right? MSM media is on top of this right?"	2021-11-26 14:31:49+00:00
321	4	-	"@nadine_bonnett Two nights ago it was a home invasion at our rental property.

The increasing stresses faced by the poor, underhoused, and criminal elements of #yegdt in this time of Covid and @UCPCaucus incompetence have made all of us less safe."	2021-11-26 14:31:21+00:00
322	1	n	"@pvanrens 2/  Despite UKs far more serious issues with Covid, Johnson has been 'out there' showing leadership all the way through and winning a massive election victory.  Trudeau hides and dictates to media from his cottage then wastes $600M to get just 32% - again!"	2021-11-26 14:30:35+00:00
323	6	n	@LarryMaguireMP They don’t want to connect with unvaccinated staff and MPs which cons support disregarding everyone’s health. Simply don’t care about Covid!	2021-11-26 14:22:22+00:00
324	3	+	@SheriAWilkinson No but I received two shots of mRNA by Moderna.	2021-11-26 14:21:02+00:00
325	3	+	"@CalbertTim @ColinDMello There have been 80 something under 18’s hospitalized with covid (not even *of) throughout the entirety of covid. The odds are literally 1/1M. The covid vax, with increased risks w/declining age, is close to one in 5k for teens-the science leads to an even bigger risk for kids."	2021-11-26 13:59:52+00:00
326	2	+	"@pvanrens @CBCAlerts If you can look in the mirror and in anyway think when studying the facts that Trudeau did well during Covid, then we need to exchange no more - you are clearly a hopeless case!  We are so lucky it didn't break through here like the EU.. we were both defenceless and leaderless"	2021-11-26 13:54:04+00:00
327	4	-	"Good grief....
New variant, bypasses current vaccine. Worse than all before it.

This will never ever ever end."	2021-11-26 13:51:45+00:00
328	6	-	@colin_korol Its amazing that people do more research to buy a washing machine than a killer vaccine	2021-11-26 13:43:24+00:00
329	4	-	"@MichiganAdvance On Halloween,  I was careless as wete the usually careful people with me. We were giving out candies in our lobby. Laughing, joking. Late Monday I felt a cold coming on. What if it was covid. The people I could have infected. Luckily, I tested negative."	2021-11-26 13:36:23+00:00
330	3	-	"My twitter feed is full of pics of kids getting their vaccine and I couldn’t be happier.

OK, I could be happier. How about opening up boosters more broadly @fordnation? Stop letting vaccines expire."	2021-11-26 13:11:38+00:00
331	6	n	"@DoctorOntario @AM800News And what is flu vaccine, the shingles vaccine?"	2021-11-26 13:07:59+00:00
332	6	n	@ConsumerSOS @liamdevlincasey I think the cover up was Covid related because there was a ground hog Covid limit on who could attend the funeral Punxsutawney Phil wanted to be there.	2021-11-26 13:06:31+00:00
333	4	-	I am so over this covid shit	2021-11-26 13:01:45+00:00
334	4	-	"2 years in, and some are still shocked we have new variants for Covid. Anyway, life has been cancelled since some time already.

It's already the bottom since months."	2021-11-26 12:37:55+00:00
335	2	-	"@sunlorrie Truest words ever. After the woke crowds bitch with Trudeau's accusations about who is vaccinated or not. All with Trudeau's vaccine mandates, passport rules in place we get this. Maybe it's not knowing if the pages, staffers are safe?"	2021-11-26 12:19:57+00:00
336	4	+	"@dearsusanbranch Wow, what lovely cabinetry and wood. The light plays so well off of its surface. I see the Joy of Cooking which taught me many of the basics. Next to your books I still use it today. Happy, happy Thanksgiving Weekend to you, Joe &amp; family. I hope your siblings made it thru CoVid ?"	2021-11-26 12:14:11+00:00
337	4	-	"@JeffUSA111 @LoccheadRick Biden isn't getting credit for Covid-19 deaths, like Trump.

CNN has taken down their death tally? Big red numbers every day.

What is the tally now? Are they still Trump's or does Joe get any credit? What about China, we still buying all our goods from there, ya?! Xi Jingping!!"	2021-11-26 12:12:09+00:00
338	3	+	@juststacey_ Puppies would be great at all Covid19 Vaccine locations. Most people will love them. And they do help relax people.	2021-11-26 11:39:46+00:00
339	4	-	@SpiraNicole Hey COVID See yea later!	2021-11-26 11:08:30+00:00
340	6	n	@SCMPNews EU and US are learning from China how to get serious about Covid-19. It's about time 😜🤠😜. China Win again with South Africans help.	2021-11-26 09:35:23+00:00
341	3	+	@AlisonEarl2 @gator_gum Because of the vaccine? No. I got both doses while pregnant	2021-11-26 09:31:40+00:00
342	3	+	Definitely getting my Pfizer booster this January damn.	2021-11-26 08:37:30+00:00
343	6	-	"@iamnotaname1 @MaggieRicker @Limbictweets @placentadoc For a bunch of reasons having nothing to do with vaccines. Women avoiding hospitals due to fear of Covid, vulnerable, at risk women not getting prenatal care, etc."	2021-11-26 07:54:15+00:00
344	3	+	"@iamnotaname1 @MaggieRicker @Limbictweets @placentadoc The evidence that Covid vaccines are safe for pregnant women and do not cause miscarriages or stillbirths is overwhelming. Covid infection on the other hand is a whole different story, from 2-4x stillbirth rate. There's 11 months worth of data, millions of pregnant women vaxxed."	2021-11-26 07:52:10+00:00
345	6	n	@kielmw @RachelNotley It's the first mass-produced ones but not the first vaccine. 34 years. 34.	2021-11-26 07:24:23+00:00
346	4	-	"@ColArchon @gsamworth @RebekkaFaith @Jencie31 @truthandcoffee @AWokeZombie @Anna65590536 @adela_buzescu @Vortmax29 @fauxmodoe @HowellDori NO..one was enough for me, pfizer triggered ..SHINGLES..AND NO ONE CARED TO TELUS..I WILL PASS ON SECOND&amp; THIRD...THKS😱😰😪🤔"	2021-11-26 06:19:51+00:00
347	6	n	@PtCrave @Stockwell_Day You obviously can’t read. The article itself postulates that Covid infections may be negatively affecting pregnant women and their fetuses.	2021-11-26 06:13:42+00:00
348	6	-	"@deterx3 @ctvottawa Oh get bent. A single country’s present  gov’t has nothing to do with global supply chain issues due to Covid and climate change. Your refrain is is old, tired, and beyond irrelevant. #FFS"	2021-11-26 06:13:02+00:00
349	3	-	"@SpeakTruthPT @joanhughes1965 I agree we should not be vaccinating young children, because they don't get COVID. In 2 years, only 17 children died of the virus in Canada. Unless that number changes radically, there is no need to vaccinate children. High risk people should get the vax! No mandates, either!"	2021-11-26 05:48:41+00:00
350	4	n	@BrianEntin An other story for ya New variant of Covid 19 take care you all happy Thanksgiven to you all  from a neighbor from Canada	2021-11-26 05:27:07+00:00
351	3	-	@PoComan72 @sc0ttelliott @BradWestPoCo Cough.. No vaccine passport.. Cough	2021-11-26 05:27:01+00:00
352	4	-	@cmusician Covid-19 in a school and a work place that they do not want to name... but they threw Tracy's No Frills employees under the bus for the same thing... remember that one @cmusician ??? 🐇	2021-11-26 04:53:39+00:00
353	3	+	"@kielmw @RachelNotley As long as possible. 200 years of vaccines, 34 years of work on the MRNA vaccines, and more than 4 billion people with COVID-19  inoculation.

Do you refuse to buy a new car or computer until it's been on the market for 5 years?"	2021-11-26 04:39:08+00:00
354	1	-	"🇧🇼Batswana of Botswana, please be safe …OMG this covid variant discovered there in motherland…  🥺🙏🏾 Thinking of my family, everyone…bagaetsho.. 
Omg and the economy and unemployment 😔… Bathong can this thing just end already 😞"	2021-11-26 04:25:29+00:00
355	1	-	"The new Covid Variant now emerging in Africa, appears to be far more deadly than the Delta  Variant, it could invade us early in 2022, and by end of next year, North America could be under total lockdowns, and mortally cripple us all economically !!"	2021-11-26 04:11:58+00:00
356	3	+	@redsince57 @sajidjavid @UKHSA Not a vaccine. It was 60 yrs ago. Science has improved greatly since then. Nothing like the Covid vaccines.	2021-11-26 04:00:20+00:00
357	4	-	@lisaforward3 Thalidomide was not an injection. It was a pill or tablet. Not a vaccine either. 60 yrs ago. Science has improved greatly since then. I don’t blame her for taking that stance. Good for her. The majority of thalidomide survivors are fully vaxxed against Covid.	2021-11-26 03:57:35+00:00
358	4	-	@RobbyBevard @UanI_Play @mattatouill @macleans Oh no! Such horror! Maybe we should all go to McDonald's at Walmart I HEARD no covid there. It's Safe zone.	2021-11-26 03:49:40+00:00
359	4	-	I was thinking about going to the cinema tomorrow. The film I'm interested in is only showing in the new Clubhouse. (No adults admitted without a child.) There are no children in my covid hubble. I hope it plays in another auditorium soon. @CineplexMovies (Gloucester)	2021-11-26 03:49:26+00:00
360	4	-	"@krushowy @tdsb @TorontoStar 180+ European athletes dead or heart issues making them retire. Gibraltar -100% vaxxed, Portugal-95% vaxxed, both declaring another state of emergency with surging Covid numbers and going into another lockdown cancelling all xmas gatherings. Just enough."	2021-11-26 03:48:37+00:00
361	4	-	@slack4life @bkives @AudreyGordonMB @HStefansonMB 🥲 yes it sucks. For you having to go through this and anyone in the same situation like you and those waiting for testing that have been on hold or delayed. See doctors they said when not covid related bullshit!	2021-11-26 03:39:14+00:00
362	3	+	"@AngusinCanada @juliamarblefaun @bruce_arthur @EmmMacfarlane Good idea - dart guns, primed with vaccine. Get rid of the public health menace. 
They gather in mobs, right?"	2021-11-26 03:32:56+00:00
363			@Covid_Stinks No just very happy with my own where we both are able to cook.	2021-11-26 03:10:29+00:00
364	3	-	@kishineff They have already admitted to under reporting Covid to suit De Santis. Florida is hardly a barometer for Covid as they have constantly refused to cooperate.	2021-11-26 03:09:24+00:00
365	3	+	"@Inves2Rookie @erika_naomi_g @imgrund just to note, most immunocompromised individuals or high risk, are encouraged to get vaxxed, very very few “cannot” get vaxxed,the vaccine is not AS effective in these populations, but still helpful"	2021-11-26 02:10:33+00:00
366	3	+	"@dotskivt @SusanStJames3_ You do realize that, were he not vaccinated, he'd most likely be dead, at the very least, suffer from terrible after affects from long covid."	2021-11-26 02:04:47+00:00
367	3	+	"@_RoryJ I’m a big fan of how at first we didn’t need to worry about Covid because “it has a 97% recovery rate”, but now we should all be shitting our pants because the vaccine affects 0.001% of people negatively."	2021-11-26 01:59:25+00:00
368	4	-	@CTVCalgary Covid is airborne- take the plexiglass down- make sure everyone fully vaxxed- wearing N95- and ventilation is meeting the highest air exchange standards. Anything less is a super spreader on standby	2021-11-26 01:48:07+00:00
369	4	-	"First they release a vaccine passport that anyone with Office can fake, then their QR code gets hacked. This government has dropped the ball on every play.

#covid19ab"	2021-11-26 01:46:10+00:00
370	2	-	@halfxwaygone So by Canadian border law if you contract covid you can’t re-enter the country. You have to quarantine in a hotel for 2 weeks &amp; all of that and the food is financially on you… I’d end up $5k in debt and wouldn’t be home for Xmas. Not worth it. Plus it’s $600 for all the testing.	2021-11-26 01:28:09+00:00
371	4	-	"@RJ_Phoenix16 @rick_pittman Listen Pal My wife had COVID, still suffers from long term affects. was F'n nasty.I have underlying conditions. Am triple Vax'd. I rely on MD's advice my entire life to keep me healthy &amp; will continue to do so. Take your conspiracy BS to somebody else's page. I'm Not interested"	2021-11-26 01:16:12+00:00
372	3	+	@kishineff Which is no basis for not mandating the vaccine. Illness and hospitalization is far more important than transmission rate. Mandates are a must.	2021-11-26 01:06:51+00:00
373	1	-	@snarksmcd @cloudycanuck And ppl aren’t getting tested either because they’re unvaccinated and think covid is a hoax or because the screening tools have removed all but the most extreme symptoms so many people with mild cases are just going around spreading it everywhere.	2021-11-26 00:56:09+00:00
374	4	-	"@errolenv @PKBurian @1MikeMorris @andreabellemare Exactly. That's what I was trying to say. They didn't want to fire anyone like other companies ruthlessly done and wanted to satisfy all employees so they compromised. No mandates but needing unvaccinated people to get rapid tests, and gave $1 increase to ppl who got vaccine."	2021-11-26 00:42:32+00:00
375	3	-	@Dave_Khan @ryanjespersen There's also the matter of ego... I don't think Kenney's ego will allow him to think that people really truly want to see the back of him. He'll think that by election day the economy will be roaring and COVID a distant memory so it doesn't matter what folk think today.	2021-11-26 00:22:30+00:00
376	3	+	Just got my kid his first COVID vaccine dose!! Hooray!!	2021-11-26 00:10:07+00:00
377	4	+	@hardingcan @DGHfoundation @DiscoveryCntr @HealthNS @CIBCInnovation Thank you for all the support and inviesentnin community led COVID - and getting all those tests :-))	2021-11-25 23:50:16+00:00
378	3	+	"@kishineff Well it looks like we’re discussing apples and oranges here. The WHO is reporting on transmission whereas the Yale study is looking at effectiveness of the vaccine to protect against illness. Either way, you are much more protected with being vaccinated."	2021-11-25 23:44:58+00:00
379	3	-	@Comediandana No idea but the homey @TheShaneClark said it’s 100% not from the vaccine 🤌🏾 Matt would’ve loved that one. Rest easy my guy 🕊🕊	2021-11-25 23:31:33+00:00
380	3	+	@GomgatD @athena_42 @jburnmurdoch but as you said vaccine hysteria I believe is less in Africa than it is other places like in Western countries	2021-11-25 23:13:32+00:00
381	3	+	@farmerbob21 @swingsnest @nkorotash @Ashantz6 So why are you saying that yes they do in school vaccinations but it is impossible to do covid in school?	2021-11-25 23:13:05+00:00
382	1	-	Another COVID variant! 🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️ here we go	2021-11-25 23:12:11+00:00
383	3	-	@GomgatD @athena_42 @jburnmurdoch it was mistaken it's less than 1 in 10 medical professionals have the vaccine in all Africa.	2021-11-25 23:11:23+00:00
384	3	+	"@GomgatD @athena_42 @jburnmurdoch Africa's a pretty big and populous place 
South Africa population 59.31 million 
still leaves 1.156 billion people that don't have the luxury first world Nations do, a lot of them would take the vaccine cuz they know how effective vaccines are!"	2021-11-25 23:10:22+00:00
385	3	-	"Wild idea

Follow me

If there’s a Covid outbreak at your kid’s school

And you want to keep YOUR kids home for 14 days

Do it

And let the rest of us get on with life"	2021-11-25 23:06:15+00:00
386	4	-	"@AndreaHorwath please Andrea, do everyone, and yourself a favour, KEEP YOUR COMMENTS ABOUT STABBING KIDS TO YOURSELF and as you say, leave COVID issues to uncompromised, ethical, independent and rational thinking  scientific experts.  Stop the irresponsible/harmful commentary"	2021-11-25 22:49:08+00:00
387	3	+	@moorethink @CJHopkins_Z23 Vaccine doesn't affect transmisibility and that's a fact. So are you really that concerned about him protecting himself? Or is it just easier to adhere to group-think; regardless of how poorly the argument ages as time goes on?	2021-11-25 22:33:07+00:00
388	2	n	The Safeway at River and Osborne has covid compliance officers. Says so right on their vests. I shall shop here more often.	2021-11-25 22:17:27+00:00
389	2	n	"Update from @baldeaglegc in Point Roberts: despite border reopening for short visits with no Covid-19 testing requirements, the course will not re-open this winter. Expect they’ll be ready to go in spring."	2021-11-25 22:01:56+00:00
390	3	-	@CMOH_Alberta Heath Canada recommends a booster dose after 6 months but Alberta pharmacies are throwing vaccine out at the end of the day  instead of letting willing residents get a booster shot for fear of getting “audited”.  Open up boosters for everyone please - this is a complete waste!	2021-11-25 21:48:13+00:00
391	3	n	"@SheriAWilkinson Second shot, Moderna. I took a Tylenol."	2021-11-25 21:41:33+00:00
392	4	+	"Eek, just two days away!

I’ll be showing you my calendar tonight, so excited!

As my Exhibition is a private event under 50 people, vaccine passports won’t be needed but masks still will be. 

Sat Nov 27
5-8 pm
@Kooben_Cafe 
20411 Fraser Hwy
Langley

Are you coming?!?! 😀"	2021-11-25 21:08:51+00:00
393	1	-	"@joe_warmington Especially when considering the news of emerging vaccine resistant  variants. Firing healthcare workers, as a pandemic response measure, is as asinine as it sounds."	2021-11-25 20:42:28+00:00
394	2	-	@ajardim01 Border was VERY slow to process all the COVID paperwork but the trip was easy.	2021-11-25 20:42:21+00:00
395	4	-	"“Each person we lose is not just a reminder that COVID-19 persists as a very real threat, but it breaks my heart to know that another family is grieving the loss of a loved one before their time.”"	2021-11-25 20:36:14+00:00
396	4	-	"haven’t done so yet and do everything you can to help make sure not one more Nova Scotian has to mourn the loss of a loved one as a result of COVID-19.”

“Today we lost another Nova Scotian to this virus, and I offer my prayers and condolences to the family and loved ones ..."	2021-11-25 20:35:33+00:00
397	2	n	@callmenamesdoc @SrCarlosMachina @mikecrime @theReal_ColinB @CBCQueensPark @Chapmans_Canada Why did you not read the part where it explained that the company is paying for the COVID tests of its unvaccinated employees? Or did you read it and not understand?	2021-11-25 20:26:45+00:00
398	2	n	@SnarkySteff Everything depends on where you go. Vaccine rates in Seattle are much higher than much of BC’s Interior.	2021-11-25 20:22:59+00:00
399	3	+	@Jolayne75 Hope you don't have covid toe 👍	2021-11-25 20:10:24+00:00
400	4	-	"What’s really weird is how so many people are pretending Covid doesn’t exist &amp; that everything is fine. 

We are going to get so fucked up in January."	2021-11-25 20:04:12+00:00
401	3	-	"@corruptcovid19 @paimadhu He’s blaming vaccine inequity. I. Effect blaming the vaccinated — we are 2, 3 times vaccinated while leaving 3 billion people unvaccinated where the virus doesn’t have any hoops to jump through. We are to blame. Not the 3 billion not by choice unvaccinated He’s right."	2021-11-25 19:50:48+00:00
402	3	-	@maxfawcett We received a threat from this group when we announced our vaccine policy in August. The Edmonton Police took it very seriously. These people are no joke this is bad.	2021-11-25 19:46:16+00:00
403	3	n	"@Todd_Friesen Thanks! Good to know, was it just update to administer covid vaccine or all vaccine which included flu vaccine as well??"	2021-11-25 19:37:21+00:00
404	3	+	"If you value your life,be a hero and get the covid shot ⚡"	2021-11-25 19:28:44+00:00
405	1	+	"@LogicalFallacy4 @Golden_Pup Looking at the adverse events, which trend higher with younger ages, compare those numbers (100’s/mo) to the numbers of kids hospitalized with covid (not of), the grand total, through the entirety of covid, of children hospitalized with covid is still only 84 (as of last week)."	2021-11-25 19:13:29+00:00
406	2	n	"@DFisman @jm_mcgrath .@jm_mcgrath, you’re very knowledgeable about the division of governmental responsibilities.
Which level would legislate, and implement/regulate, new rules about ventilation requirements for restaurants and hotels, and about updated vaccine passports, as suggested by @DFisman?"	2021-11-25 18:49:29+00:00
